adult,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count
False,,0,"[{'id': 99, 'name': 'Documentary'}]",,111332,tt1599280,en,Avatar: Creating the World of Pandora,The Making-of James Cameron's Avatar. It shows interesting parts of the work on the set.,1.660009,/sjf3xjuofCtDhZghJRzXlTiEjJe.jpg,"[{'name': 'Lightstorm Entertainment', 'id': 574}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2010-02-07,0,0.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Avatar: Creating the World of Pandora,False,5.8,5
False,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",,8816,tt0089606,sv,Mitt liv som hund,"A boy and his brother don't get along well. In order to let their ill mother rest, they are separated and sent to different relatives.",4.195896,/eVg9IsX2HtR1BNYH0UAhF4JPHi7.jpg,"[{'name': 'Svensk Filmindustri (SF)', 'id': 6181}, {'name': 'FilmTeknik', 'id': 7931}]","[{'iso_3166_1': 'SE', 'name': 'Sweden'}]",1985-12-12,0,101.0,"[{'iso_639_1': 'sv', 'name': 'svenska'}]",Released,,My Life as a Dog,False,7.3,70
False,,0,"[{'id': 18, 'name': 'Drama'}]",,12266,tt0083257,fr,Une étrange affaire,"A young Parisian advertising executive becomes so captivated by the unsettling charm of his mysterious new employer that he eventually abandons his family and friends, viewing it a privilege to let the ubiquitous employer take over his home, his life, his desire. Only his wife remains suspicious, recognizing both the pathos and the evil in the man’s soul-stealing power.",0.58662,/r7E70uuuaEsqMTrwgBMpVqJXF0k.jpg,[],"[{'iso_3166_1': 'FR', 'name': 'France'}]",1981-12-23,0,105.0,"[{'iso_639_1': 'fr', 'name': 'Français'}]",Released,,Strange Affair,False,4.2,3
False,,0,"[{'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}]",,106482,tt0102733,en,Pyrates,"As soon as they meet Ari and Sam get into a pretty passionate - and combustible - relationship. Indeed, the scenes of their rendezvous often seem reminiscent of the Chicago Fire. But the course of true flaming lust never runs true, and as they try to handle their all-consuming passion their two best friends endlessly meet to compare notes on developments.",0.375724,/gPrC6AVW9egAoLCmtFP3h9kXIgU.jpg,"[{'name': 'Act III Communications', 'id': 1153}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1991-12-18,0,91.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Sam and Ari are getting on like a house on fire!,Pyrates,False,0.0,0
False,,0,"[{'id': 18, 'name': 'Drama'}]",,27138,tt0075296,en,Sybil,"The true story of a young woman named Sybil, whose childhood was so harrowing to her that she developed at least 13 different personalities.",1.899992,/w6w8lbG8jajc7Y8AsDymZDfPw4u.jpg,"[{'name': 'Lorimar Productions', 'id': 898}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1976-11-14,0,198.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Sybil,False,7.2,25
False,,7400000,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",,14395,tt0449999,hi,कभी अलविदा ना कहना,"Dev and Maya are both married to different people. Settled into a life of domestic ritual, and convinced that they are happy in their respective relationships, they still yearn for something deeper and more meaningful, which is precisely what they find in each other.",2.37252,/dkYQgRPuik4FGIUdGGVYGQJWrHa.jpg,"[{'name': 'Yash Raj Films', 'id': 1569}, {'name': 'Dharma Productions', 'id': 19146}]","[{'iso_3166_1': 'IN', 'name': 'India'}]",2006-08-11,17000000,193.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'hi', 'name': 'हिन्दी'}]",Released,A Love.... That Broke All Relationships,Kabhi Alvida Naa Kehna,False,6.1,45
False,,0,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}]",,27918,tt0027800,en,The Invisible Ray,"Dr. Janos Rukh discovers a certain type of radium that has almost magical healing properties. But the element has a dangerous side, too, and it has already started affecting Rukh. Consumed by paranoia, he begins to suspect that his wife is having an affair. Wild for revenge, Rukh hatches a deadly plot...using his own poisoned body as a weapon to kill.",1.486415,/fAMfoQQkJrWtusXR0mDcTSAmhcG.jpg,"[{'name': 'Universal Pictures', 'id': 33}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1936-01-20,0,80.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}]",Released,"Delving into new, strange fields of mystery!",The Invisible Ray,False,6.2,11
False,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",,52805,tt0256459,en,The Truth About Jane,"Jane, a high school teenager, tries to deal with the discovery that she is a lesbian after developing an intense friendship with another girl who makes her discover her true sexuality, which is only the start of Jane's troubles when Jane's unaccepting mother, Janice, struggles with her surprising revelation of brought forth by her only daughter.",0.492987,/jZQynplhTqFQVa4Kj83XPPOIr48.jpg,[],[],2000-08-07,0,87.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,The Truth About Jane,False,5.8,10
False,,0,"[{'id': 18, 'name': 'Drama'}]",,74457,tt1470020,en,Redemption Road,A Tennessee-set drama focused on an individual's spiritual redemption.,0.266642,/w1NBcLgbJAyuuat0UcIpKQnHmJA.jpg,"[{'name': 'Heavy Duty Entertainment', 'id': 4097}, {'name': 'MVP Films', 'id': 37580}, {'name': 'Liberty Road Entertainment', 'id': 49793}]",[],2011-08-26,0,91.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Redemption Road,False,4.7,6
False,,0,[],,238397,tt0489093,en,James Dean Remembered,Peter Lawford hosts this documentary taking a look at the life and films of James Dean.,0.011025,/cmIlHCefgWi0uh0elvq7vfO7swy.jpg,[],[],1974-01-01,0,67.0,[],Released,,James Dean Remembered,False,0.0,0
False,"{'id': 330555, 'name': 'Ernest Collection', 'poster_path': '/m8CTuM76DbvFvpCHBepso5Bu7nw.jpg', 'backdrop_path': '/vTlcbHNWrAf77AZFDZ9yCjHm8ag.jpg'}",0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}, {'id': 10749, 'name': 'Romance'}]",,39129,tt0114469,en,Slam Dunk Ernest,Ernest P. Worrell becomes a basketball star after an angel bearing an uncanny resemblance to Kareem Abdul-Jabbar gives him a pair of magic sneakers.,0.77623,/fkTi7g03hFCJeEYbE3AXhvidz7.jpg,[],"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995-06-20,0,93.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Slam Dunk Ernest,False,4.2,11
False,,0,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",,14455,tt0359692,ja,壬生義士伝,"Kanichiro Yoshimura is a Samurai and Family man who can no longer support his wife and children on the the low pay he receives from his small town clan, he is forced by the love for his family to leave for the city in search of higher pay to support them.",2.525713,/nR2BXaLS3eSpDBEhEZP1rKubwbj.jpg,"[{'name': 'Shochiku Company', 'id': 4641}]","[{'iso_3166_1': 'JP', 'name': 'Japan'}]",2003-01-18,0,137.0,"[{'iso_639_1': 'ja', 'name': '日本語'}]",Released,,When the Last Sword Is Drawn,False,7.5,30
False,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}]",http://www.piedrapapelotijera.com.ve/,136752,tt1935870,es,"Piedra, Papel o Tijera","The chance of an innocent child's game will unveil a betrayal that will forever change the lives of two families when their paths cross, endangering what they love the most, in a city that does not give them a truce.",0.191452,/y3il3vN7BYtiWby82Ct506NRQyH.jpg,"[{'name': 'Centro Nacional Autónomo de Cinematografía', 'id': 1388}, {'name': 'Factor RH Producciones', 'id': 6520}, {'name': 'Fundación  Villa del Cine', 'id': 15511}, {'name': 'Blue Post', 'id': 16952}]","[{'iso_3166_1': 'VE', 'name': 'Venezuela'}]",2012-06-22,0,100.0,"[{'iso_639_1': 'es', 'name': 'Español'}]",Released,You can't deny and you know!,"Rock, Paper, Scissors",False,6.1,5
False,,0,"[{'id': 35, 'name': 'Comedy'}]",,326874,tt2094872,fr,L'Art de la fugue,,0.422533,/2XaP1ag5JEASgeOoCAiLuy7OahZ.jpg,"[{'name': 'Hérodiade', 'id': 7673}, {'name': 'Alvy Développement', 'id': 58534}]","[{'iso_3166_1': 'FR', 'name': 'France'}]",2015-03-04,0,98.0,"[{'iso_639_1': 'fr', 'name': 'Français'}]",Released,,L'Art de la fugue,False,5.2,10
False,"{'id': 90348, 'name': 'Witch Mountain Collection', 'poster_path': '/3IggdwQeJvkkfMTKRv9iEpInGnV.jpg', 'backdrop_path': '/aXZ0LmSgLT1ZiNWnJ5qKaQHqBiC.jpg'}",0,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 10751, 'name': 'Family'}]",,14821,tt0072951,en,Escape to Witch Mountain,"Tia and Tony are two orphaned youngsters with extraordinary powers. Lucas Deranian poses as their uncle in order to get the kids into the clutches of Deranian's megalomaniacal boss, evil millionaire Aristotle Bolt, who wants to exploit them. Jason, a cynical widower, helps Tia and Tony escape to witch mountain, while at the same time Tia and Tony help Jason escape the pain of the loss of his wife.",7.151691,/cXicoCiCfO6FDfv6ozwcfQCnhVW.jpg,"[{'name': 'Walt Disney Productions', 'id': 3166}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1975-03-21,20000000,97.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Caught in a world where they don't belong... they have one chance to escape!,Escape to Witch Mountain,False,6.5,60
False,,0,"[{'id': 99, 'name': 'Documentary'}]",,18152,tt0807956,en,Occupation 101,A thought-provoking documentary on the current and historical causes of the Israeli-Palestinian conflict and U.S. political involvement.,0.995593,/3aBwQwNrUOKaRdw1IdXaFz31vyF.jpg,[],[],2006-03-25,0,90.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Occupation 101,False,7.4,9
False,,0,"[{'id': 27, 'name': 'Horror'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",,24111,tt0038343,en,Bedlam,"Nell Bowen, the spirited protege of rich Lord Mortimer, becomes interested in the conditions of notorious St. Mary's of Bethlehem Asylum (Bedlam). Nell attempts to bring support to reforming Bedlam, but the cruel Master Sims who runs it has her committed there instead.",1.856537,/rDYbo7kSkVjdKMAdJwN4pOMO6z1.jpg,"[{'name': 'RKO Radio Pictures', 'id': 6}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1946-05-10,0,79.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Sensational Secrets of Infamous Mad-house EXPOSED!,Bedlam,False,6.1,17
False,,0,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 16, 'name': 'Animation'}, {'id': 28, 'name': 'Action'}]",,296917,tt4219130,ja,劇場版 サイコパス,"Year 2116—The Japanese government begins to export the Sibyl System unmanned drone robots to troubled countries, and the system spreads throughout the world. A state in the midst of a civil war, SEAUn (the South East Asia Union), brings in the Sibyl System as an experiment. Under the new system, the coastal town of Shambala Float achieves temporary peace and safety. But then SEAUn sends terrorists to Japan. They slip through the Sibyl System and then attack from within. The shadow of a certain man falls on this incident. In charge of the police, Tsunemori travels to Shambala Float to investigate. The truth of justice on this new ground will become clear.",4.299518,/v03t9EkHZZOLMaFow4mLYu6b7uS.jpg,"[{'name': 'Production I.G.', 'id': 12657}]","[{'iso_3166_1': 'JP', 'name': 'Japan'}]",2015-01-09,0,113.0,"[{'iso_639_1': 'ja', 'name': '日本語'}]",Released,,Psycho-Pass: The Movie,False,7.2,40
False,,0,"[{'id': 35, 'name': 'Comedy'}]",,143839,tt0058415,en,Nothing But the Best,"Success has James Brewster's name written all over it, and he also has his heart set on his boss's daughter. A con artist hires him to help out on a bank scheme, but then again, James will do anything to get rich and be the most successful businessman in Britian-even if it means murder!!!",0.726984,/3v1Lofl5c3JUcQScV90HTFkxb4x.jpg,"[{'name': 'Domino Films', 'id': 34000}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",1964-03-10,0,99.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Nothing But the Best,False,5.0,1
False,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 10769, 'name': 'Foreign'}, {'id': 10749, 'name': 'Romance'}]",,42085,tt0087027,es,Camila,"In Buenos Aires of the 1840s, a young Jesuit and a wealthy socialite fall in love and begin a torrid affair. They escape from the city, and, in disguise, set up house in a village, assuming they are safe and beyond the cares of anyone. However, both the church and Camila's family are enraged, vowing to hunt down the lovers for a capital crime. Based on a true story.",0.265963,/ibSmdjvNXWQgZKLPeJNReRLTJrF.jpg,[],"[{'iso_3166_1': 'ES', 'name': 'Spain'}, {'iso_3166_1': 'AR', 'name': 'Argentina'}]",1984-05-17,0,105.0,"[{'iso_639_1': 'es', 'name': 'Español'}]",Released,,Camila,False,7.0,4
False,,110000000,"[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}]",http://www.deepwaterhorizon.movie/,296524,tt1860357,en,Deepwater Horizon,"A story set on the offshore drilling rig Deepwater Horizon, which exploded during April 2010 and created the worst oil spill in U.S. history.",13.1984,/jgBIYCZACe3iaS9TL2XzVGkO5p5.jpg,"[{'name': 'Di Bonaventura Pictures', 'id': 435}, {'name': 'Summit Entertainment', 'id': 491}, {'name': 'Participant Media', 'id': 6735}, {'name': 'Closest to the Hole Productions', 'id': 8537}, {'name': 'Leverage Entertainment', 'id': 8539}, {'name': 'TIK Film', 'id': 86900}]","[{'iso_3166_1': 'HK', 'name': 'Hong Kong'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2016-09-29,121790373,107.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,"When faced with our darkest hour, hope is not a tactic",Deepwater Horizon,False,6.5,1478
False,,0,"[{'id': 18, 'name': 'Drama'}]",,262357,tt2515164,en,Redwood Highway,"Marie, a reluctant resident of a retirement community in Southern Oregon, decides to walk 80 miles down the Redwood Highway to see the ocean for the first time in 45 years.",1.263743,/7SzPIqEHibLj2g7lYo2cif9DK0g.jpg,[],[],2013-04-05,0,90.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Redwood Highway,False,7.0,3
False,"{'id': 34055, 'name': 'Pokémon Collection', 'poster_path': '/j5te0YNZAMXDBnsqTUDKIBEt8iu.jpg', 'backdrop_path': '/iGoYKA0TFfgSoZpG2u5viTJMGfK.jpg'}",0,"[{'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}]",http://www.pokemongiratina.com,47292,tt1160525,ja,Gekijô ban poketto monsutâ: Daiyamondo & Pâru - Giratina to sora no hanataba Sheimi,"The film opens with Shaymin as Dialga appears. Then, in the Reverse or Distortion World Giratina senses Dialga's presence, and flies up to the Real World to capture him. Dialga drinks, just as Giratina's portal opens up. Giratina then drags Dialga into the Reverse World. Shaymin is also catapulted into the Reverse World. As Dialga and Giratina fight, Zero observes the battle in his ship. Shaymin absorbs a dark gas and uses ""Seed Flare,"" tearing a hole in the Reverse World and escaping. Dialga fires a laser at Giratina, enveloping her in a time loop and trapping her in the Reverse World. As Dialga escapes, Shaymin falls into a river.",2.197789,/8dJxgyryI2XmheaTd3hrCkOabNu.jpg,[],"[{'iso_3166_1': 'JP', 'name': 'Japan'}]",2008-07-19,0,96.0,"[{'iso_639_1': 'ja', 'name': '日本語'}]",Released,"In a Reverse World, A Legendary Battle Rages On...",Pokémon: Giratina and the Sky Warrior,False,6.6,33
False,,0,"[{'id': 10752, 'name': 'War'}, {'id': 18, 'name': 'Drama'}]",,43100,tt0053856,it,Il generale Della Rovere,The Gestapo forces con man Victorio Bardone (Vittorio De Sica) to impersonate a dead partisan general in order to extract information from his fellow inmates.,3.566556,/jgbDiuHqOKrptlERNbsVCRNkBsF.jpg,"[{'name': 'Zebra Films', 'id': 1664}, {'name': 'Société Nouvelle des Établissements Gaumont (SNEG)', 'id': 22396}]","[{'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'IT', 'name': 'Italy'}]",1959-10-07,0,132.0,"[{'iso_639_1': 'de', 'name': 'Deutsch'}, {'iso_639_1': 'it', 'name': 'Italiano'}]",Released,,General Della Rovere,False,7.3,16
False,,0,"[{'id': 53, 'name': 'Thriller'}]",,73818,tt1650535,en,The Entitled,"Without the security of the job he wants or the future he dreamed of, Paul Dynan plans the perfect crime to help his struggling family – abduct the socialite children of three wealthy men and collect a ransom of $3-million dollars. Over the course of one long night, Paul and his accomplices hold the rich kids hostage awaiting the ransom with little idea of the secrets that will surface between the fathers when they are forced to choose between their children and their money.",2.950774,/nJMru27zbwolphYGEvzqYkMmm0e.jpg,"[{'name': 'South Creek Pictures', 'id': 12215}, {'name': 'Dynan Productions', 'id': 12216}, {'name': 'Foundation Features', 'id': 12217}]","[{'iso_3166_1': 'CA', 'name': 'Canada'}]",2011-09-06,0,91.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,The Entitled,False,5.9,40
False,,0,"[{'id': 10749, 'name': 'Romance'}]",,139799,tt0048124,en,The Glass Slipper,"The Glass Slipper (1955) is a musical film adaptation of Cinderella, made by MGM, directed by Charles Walters and produced by Edwin H. Knopf from a screenplay by Helen Deutsch. The music score is by Bronislau Kaper, the cinematography by Arthur E. Arling, the art direction by Daniel B. Cathcart and Cedric Gibbons and costume design by Walter Plunkett and Helen Rose.",2.443375,/uWq1FpVtDcf6HgSB6uo2qeoNnjO.jpg,"[{'name': 'Metro-Goldwyn-Mayer (MGM)', 'id': 8411}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1955-01-01,0,93.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,The Glass Slipper,False,6.1,8
False,,0,"[{'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 10751, 'name': 'Family'}]",,122894,tt0097630,en,Journey to the Center of the Earth,"When brothers Richard and Bryan and young nanny Crystina fall into a hole while exploring one of Hawaii's many volcanic caves, they plummet all the way to the center of the Earth in this adventure loosely based on Jules Verne's classic novel. The teen-oriented film follows the trio's discovery of the lost continent of Atlantis, an underground world populated by creatures and monsters.",0.196544,/yHjOfJ0WMYWdH9iY7Us9GXD4p9n.jpg,[],[],1989-07-14,0,100.0,[],Released,Explore the Impossible.,Journey to the Center of the Earth,False,2.4,5
False,,0,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}]",,284305,tt3417756,es,Musarañas,"Spain, 1950s. Montse's agoraphobia keeps her locked in a sinister apartment in Madrid and her only link to reality is the little sister she lost her youth raising. But one day, a reckless young neighbor, Carlos, falls down the stairwell and drags himself to their door. Someone has entered the shrew's nest... perhaps he'll never leave.",6.319326,/7rgorbW4vCzZZHW5sEEczSjNqza.jpg,"[{'name': 'Pokeepsie Films', 'id': 32485}]","[{'iso_3166_1': 'ES', 'name': 'Spain'}]",2014-09-26,0,90.0,"[{'iso_639_1': 'es', 'name': 'Español'}]",Released,,Shrew's Nest,False,6.6,100
False,,0,"[{'id': 18, 'name': 'Drama'}]",,123778,tt0102993,en,Strangers in Good Company,"A busload of women become stranded in an isolated part of the Canadian countryside. As they await rescue, they reflect on their lives through a mostly ad-libbed script.",0.000578,/A63g5y4VgBmB7CxVbP6lz0CMuML.jpg,"[{'name': 'First Run Features', 'id': 4095}, {'name': 'National Film Board of Canada (NFB)', 'id': 17027}]","[{'iso_3166_1': 'CA', 'name': 'Canada'}]",1990-10-01,0,101.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Sometimes the middle of nowhere can lead to the most beautiful of places.,Strangers in Good Company,False,7.0,4
